,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
20,2258243,2226752,2140294,2059911,2033130,2135741,2114781,2122410,2218649,2247873,2295794,2452277,2620396,2993742,2846740,2828397,2816582,3882941,3619894,3642408,3653488,3796605,3895789,3998373,4102553,4187886,4243079,4400497,4417809,4419481,4424063,4460084,4383331,4382767,4335872,4298672,4141855,3940479,3854933,3798452,3896856,4107869,3822910,3616538,3548161,3637873,3602485,3774356,3816802,3936507,4066285,4156725,4158896,4156877,4131771,4241197,4248095,4242404,4302988,4383628,4556617,4568055,4546920,4453700,4412489,4353486,4286564,4276745
21,2293186,2285116,2252033,2160664,2080459,2052912,2157495,2133334,2137506,2233988,2265728,2315777,2464576,2622269,2984824,2829293,2800665,2776018,3811492,3540175,3556227,3553466,3696985,3797654,3900766,4007933,4093340,4149501,4312079,4334896,4346975,4299497,4384664,4365479,4315773,4268470,4227560,4084031,3887035,3807606,3753876,4006828,4031772,3763758,3564829,3501520,3593861,3568474,3738424,3780804,3858925,4133311,4182678,4167554,4180191,4150658,4258790,4257371,4251950,4307414,4386080,4387520,4630398,4574494,4482033,4445074,4386414,4318304
22,2324914,2258475,2254917,2223594,2140366,2065719,2044985,2151036,2128631,2137920,2238646,2276632,2322896,2465430,2618388,2974287,2813697,2777109,2746998,3761493,3494642,3509578,3510975,3655348,3756547,3862914,3970413,4056115,4118791,4284816,4315203,4276765,4269904,4390953,4346943,4269317,4211983,4166936,4014506,3817295,3730857,3781295,3916316,3951235,3696750,3510913,3457172,3559878,3542783,3713149,3776012,3919316,4145736,4175294,4173077,4176096,4141532,4236043,4232792,4217667,4268558,4286502,4626348,4661047,4605757,4517314,4480595,4420763
23,2391008,2384385,2313831,2304737,2273536,2186847,2111474,2087107,2190431,2166724,2174395,2246879,2281132,2321819,2460044,2608334,2955441,2788578,2747093,2711237,3716091,3459578,3481136,3487642,3635084,3742778,3852956,3964026,4059239,4129391,4305761,4290326,4285965,4313397,4275974,4342912,4262193,4204965,4149179,3997051,3795186,3686795,3767862,3911454,3949584,3704970,3525735,3482716,3591517,3577006,3688615,3798554,3936927,4147777,4192674,4183656,4186427,4143940,4237432,4230115,4215890,4216698,4444658,4656683,4694117,4641661,4553777,4515308
24,2413041,2397456,2389011,2313239,2304924,2272449,2187004,2109080,2080581,2182455,2159614,2191006,2270117,2310253,2358554,2506128,2664034,3023227,2860687,2824480,2781658,3839808,3568208,3582406,3580457,3725325,3826361,3929083,4038042,4127989,4197947,4336172,4358269,4391206,4357721,4350012,4421014,4347648,4285895,4234133,4080881,3831013,3775118,3858470,3998961,4035276,3785429,3606867,3560589,3664616,3654830,3749380,3819528,3944186,4167847,4208348,4201291,4198241,4155450,4245298,4240793,4243224,4343285,4473760,4688618,4729252,4676663,4587515
25,2437842,2382044,2368562,2358201,2286831,2279892,2251515,2167481,2089151,2062600,2165795,2170374,2197507,2272391,2308915,2353320,2496628,2646286,2997171,2829895,2802151,2756978,3810706,3547445,3566868,3572437,3721512,3826800,3939843,4056482,4159474,4202025,4361388,4406371,4376343,4368689,4354496,4419774,4335527,4268943,4206900,3905196,3840493,3801153,3895408,4051969,4103214,3870542,3702309,3665093,3757096,3659719,3779169,3842468,3981519,4206096,4254643,4245572,4246210,4204602,4303037,4289018,4272877,4371120,4503882,4722239,4763194,4708854
26,2494150,2485281,2430840,2414901,2407547,2335789,2332479,2303937,2216196,2137130,2111395,2172236,2171778,2195043,2265698,2297761,2339109,2473980,2617403,2956788,2804268,2773244,2730854,3774520,3515744,3538718,3545226,3693845,3804556,3919839,4043432,4115191,4182796,4367456,4340709,4356026,4350586,4340583,4400711,4318868,4251897,4105864,3909159,3841469,3794653,3885191,4035293,4084618,3850085,3678115,3631050,3768152,3669915,3771710,3838225,3966722,4186325,4222850,4206583,4197922,4154786,4160508,4297039,4299622,4400262,4536357,4754096,4794326
27,2515690,2550054,2539590,2477356,2460279,2449896,2376674,2370125,2335664,2244217,2163619,2121018,2182297,2184246,2209452,2281873,2318338,2359639,2497786,2642288,3000699,2847814,2815750,2771417,3824862,3564531,3585646,3589831,3742779,3853208,3972566,4065123,4158071,4246928,4223710,4379658,4394263,4389511,4372542,4430681,4344538,4287467,4174463,3981790,3914247,3872444,3969537,4130618,4183912,3950984,3800396,3668700,3791713,3688646,3801676,3870040,4004498,4224395,4265165,4250014,4248970,4236809,4338729,4322526,4328101,4432055,4567423,4784135
28,2455939,2388417,2433957,2432040,2386122,2381075,2384752,2325111,2327219,2304454,2224932,2172992,2127996,2190051,2191294,2215580,2290407,2324541,2365794,2501601,2641863,3003167,2837491,2792958,2737606,3762889,3490185,3494422,3487909,3621118,3719108,3800948,3901936,4004099,3983565,4039434,4183149,4191303,4177403,4153413,4200508,4149710,4138233,4047684,3874133,3825806,3801689,3916814,4090983,4161525,3996230,3766129,3682001,3794838,3697495,3805526,3874154,3999799,4215620,4250613,4237858,4247376,4206443,4361578,4348951,4358168,4461130,4595406
29,2457975,2489071,2414400,2449315,2441590,2387915,2377271,2373166,2303935,2298561,2269886,2233120,2177651,2132221,2192610,2191676,2217275,2288828,2321733,2359906,2487167,2660149,3045673,2899904,2876037,2841781,3931716,3672595,3707919,3727046,3897914,3985769,4099510,4234631,4216289,4314856,4388571,4551843,4570408,4567317,4556363,4596057,4528791,4473651,4330104,4106982,4016913,3957216,4035692,4176250,4252358,3956647,3768542,3673923,3788140,3686326,3790391,3850082,3969090,4175077,4208596,4210139,4279311,4228116,4386181,4377349,4385585,4487739
